campaign,kit_id,transect_location,tc_perc,tn_perc,tc_flag,tn_flag
EC1,K049,wetland,1.267,0.112,< 3 replicates used,< 3 replicates used
EC1,K050,transition,2.47,0.207,NA,NA
EC1,K050,upland,27.688,1.157,"< 3 replicates used, replicate outlier","< 3 replicates used, replicate outlier"
EC1,K050,wetland,6.822,0.675,< 3 replicates used,< 3 replicates used
EC1,K051,transition,20.777,1.412,NA,NA
EC1,K051,upland,NA,0.124,no replicates used,< 3 replicates used
EC1,K051,wetland,1.975,0.196,< 3 replicates used,< 3 replicates used
EC1,K052,transition,1.559,0.113,"< 3 replicates used, replicate outlier","< 3 replicates used, replicate outlier"
EC1,K052,upland,NA,0.228,no replicates used,< 3 replicates used
EC1,K053,transition,4.535,0.462,"< 3 replicates used, replicate outlier","< 3 replicates used, replicate outlier"
EC1,K053,upland,5.165,0.51,NA,NA
EC1,K053,wetland,7.878,0.973,< 3 replicates used,< 3 replicates used
EC1,K054,transition,18.481,0.88,replicate outlier,replicate outlier
EC1,K054,upland,NA,NA,no replicates used,no replicates used
EC1,K054,wetland,12.758,0.951,< 3 replicates used,< 3 replicates used
EC1,K055,upland,6.867,0.543,"< 3 replicates used, replicate outlier","< 3 replicates used, replicate outlier"
EC1,K056,transition,3.971,0.399,"< 3 replicates used, replicate outlier",NA
EC1,K056,upland,13.585,0.617,"< 3 replicates used, replicate outlier","< 3 replicates used, replicate outlier"
EC1,K056,wetland,7.529,0.727,< 3 replicates used,< 3 replicates used
EC1,K058,transition,11.857,1.085,"< 3 replicates used, replicate outlier",replicate outlier
EC1,K058,upland,27.922,1.451,replicate outlier,replicate outlier
EC1,K058,wetland,4.717,0.555,"< 3 replicates used, replicate outlier",NA
EC1,K059,transition,18.433,1.315,replicate outlier,replicate outlier
EC1,K059,upland,26.907,0.966,replicate outlier,NA
EC1,K059,wetland,16.432,1.57,< 3 replicates used,< 3 replicates used
EC1,K061,transition,2.048,0.163,"< 3 replicates used, replicate outlier",replicate outlier
EC1,K061,upland,2.381,0.207,NA,NA
EC1,K061,wetland,3.633,0.42,"< 3 replicates used, replicate outlier","< 3 replicates used, replicate outlier"
EC1,K062,transition,6.872,0.463,NA,NA
EC1,K062,upland,NA,NA,no replicates used,no replicates used
EC1,K062,wetland,6.831,0.781,< 3 replicates used,< 3 replicates used
