kit_id,transect_location,sample_weight_g,loi_perc
K001,Sediment,49.15,NA
K001,Transition,24,NA
K001,Upland,91.21,NA
K001,Wetland,19.48,NA
K004,Sediment,42.25,8
K004,Transition,23.71,21
K004,Upland,52.85,13
K004,Wetland,22.82,17
K007,Transition,47.51,NA
K007,Upland,47.11,NA
K007,Wetland,28.88,NA
K008,Sediment,131.17,8
K008,Transition,8.8,69
K008,Upland,61.7,8
K008,Wetland,34.33,20
K009,Upland,61.6,14
K009,Sediment,25.2,13
K009,Transition,45.1,24
K009,Wetland,24.1,29
K010,Transition,63.54,15
K010,Upland,52.7,14
K010,Wetland,34.34,17
K011,Sediment,43.73,12
K011,Transition,53.7,7
K011,Upland,55.66,8
K011,Wetland,39.1,16
K012,Sediment,15.98,70
K012,Wetland,52.66,10
K013,Sediment,30.46,44
K013,Transition,36.44,11
K013,Upland,64.06,9
K013,Wetland,18.15,39
K014,Sediment,114.32,0
K014,Wetland,16.78,NA
K015,Sediment,27.41,17
K015,Transition,50.22,10
K015,Upland,24.21,10
K015,Wetland,15.44,20
K016,Sediment,29.19,11
K016,Transition,99.97,7
K016,Upland,16.24,76
K016,Wetland,22.1,19
K017,Sediment,36.5,12
K017,Transition,62.74,14
K017,Upland,84.34,9
K017,Wetland,17.43,25
K018,Sediment,127.03,0
K018,Transition,62.43,6
K018,Upland,23.77,28
K018,Wetland,127.06,2
K019,Sediment,138.87,1
K019,Transition,110.28,3
K019,Upland,41.37,15
K019,Wetland,105.85,1
K020,Upland,59.47,16
K021,Sediment,20.9,15
K021,Transition,26.3,33
K021,Upland,55,12
K021,Wetland,24.17,26
K022,Sediment,15.9,24
K022,Transition,10.9,37
K022,Upland,56.53,15
K022,Wetland,20.1,16
K023,Sediment,57.22,11
K023,Upland,37.03,41
K023,Wetland,14.9,44
K024,Sediment,43.06,10
K024,Transition,27.91,21
K024,Upland,25.32,68
K024,Wetland,13.78,69
K025,Sediment,82.4,6
K025,Transition,38.64,29
K025,Upland,61.67,19
K025,Wetland,46.46,17
K026,Sediment,36.05,9
K026,Transition,26.72,34
K026,Upland,91.04,2
K026,Wetland,42.18,15
K029,Sediment,31.8,NA
K029,Transition,11.8,71
K029,Upland,17,NA
K029,Wetland,26.7,16
K030,Sediment,33.82,17
K030,Upland,15.7,78
K030,Wetland,41.28,14
K033,Sediment,95.9,5
K033,Upland,57.4,14
K033,Wetland,31.92,16
K034,Sediment,29.6,18
K034,Transition,16.5,32
K034,Upland,50.98,10
K034,Wetland,26.6,22
K035,Sediment,31.29,13
K035,Transition,24.46,26
K035,Upland,70.26,11
K035,Wetland,21.7,37
K036,Sediment,16.2,42
K036,Transition,18.55,52
K036,Upland,20.7,66
K036,Wetland,14.1,32
K037,Sediment,38.3,14
K037,Wetland,30.8,19
K038,Sediment,67.04,15
K038,Upland,53.9,17
K038,Wetland,22,26
K039,Sediment,21.1,48
K039,Transition,13.7,90
K039,Upland,61.91,31
K039,Wetland,10.92,90
K040,Sediment,93.6,3
K040,Transition,16.88,80
K040,Upland,13.8,89
K040,Wetland,56.81,9
K041,Sediment,102.01,1
K041,Transition,10.4,76
K041,Upland,12,94
K041,Wetland,114.72,2
K042,Sediment,77.77,9
K042,Transition,24.6,58
K042,Upland,55.8,15
K042,Wetland,23.11,21
K043,Sediment,97.48,0
K044,Sediment,25.3,13
K044,Transition,11.1,67
K044,Upland,17,18
K044,Wetland,27.92,17
K045,Sediment,21,13
K045,Transition,16.5,54
K045,Upland,22.2,66
K045,Wetland,11.81,32
K046,Sediment,31.42,14
K046,Transition,31.07,NA
K046,Upland,31.42,35
K047,Sediment,10.9,55
K047,Transition,86.06,8
K047,Upland,28.3,40
K047,Wetland,6.72,80
K048,Sediment,51.4,14
K048,Transition,34.6,27
K048,Upland,58.6,13
K048,Wetland,33.7,14
K049,Sediment,72.7,6
K049,Transition,85.1,2
K049,Upland,136,0
K049,Wetland,103.47,7
K050,Sediment,136.58,0
K050,Transition,80.92,7
K050,Upland,23.13,NA
K050,Wetland,23.12,31
K051,Transition,17.7,50
K051,Upland,101.4,3
K051,Wetland,92.58,3
K052,Sediment,25.8,22
K052,Transition,144.88,3
K052,Upland,80.3,4
K053,Sediment,44.2,19
K053,Transition,76.1,9
K053,Upland,63.6,27
K053,Wetland,19,29
K054,Sediment,51.6,30
K054,Transition,19,87
K054,Upland,50.5,11
K054,Wetland,15.72,45
K055,Sediment,43.7,NA
K055,Upland,52.7,9
K056,Sediment,16,NA
K056,Transition,65.08,10
K056,Upland,26.1,NA
K056,Wetland,19.2,28
K058,Sediment,38.8,NA
K058,Transition,20.91,40
K058,Upland,15.6,NA
K058,Wetland,29.3,18
K059,Sediment,22.2,29
K059,Transition,9.86,77
K059,Upland,12.13,88
K059,Wetland,10.2,64
K060,Sediment,30.17,10
K061,Sediment,34.4,16
K061,Transition,85.27,4
K061,Upland,68.6,5
K061,Wetland,52.05,13
K062,Sediment,18.77,15
K062,Transition,34.7,31
K062,Upland,47.8,14
K062,Wetland,22.1,23
K027,Sediment,NA,31
K027,Wetland,NA,79
K027,Transition,NA,5
K027,Upland,NA,6
K010,Sediment,NA,15
K046,Wetland,NA,18
K060,Wetland,NA,9
