kit_id,sediment_color,inferred_munsell_color,inferred_munsell_color_string,color_hex,color_r,color_g,color_b
K004,"Black, Grey, Reddish",Dark Reddish Gray,5YR4/2,#715C4F,113,92,79
K008,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K009,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K010,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K011,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K012,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K013,Black,Black,10YR2/1,#363029,54,48,41
K014,NA,NA,NA,NA,NA,NA,NA
K015,"Black, Grey",Dark Gray,10YR4/1,#675F55,103,95,85
K016,Grey,Gray,10YR5/1,#80786F,128,120,111
K017,Grey,Gray,10YR5/1,#80786F,128,120,111
K018,Light Chocolate,Brown,10YR5/3,#8D765A,141,118,90
K019,"Reddish, Light Chocolate",Reddish Brown,5YR4/3,#785947,120,89,71
K020,NA,NA,NA,NA,NA,NA,NA
K021,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K022,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K023,Grey,Gray,10YR5/1,#80786F,128,120,111
K024,Grey,Gray,10YR5/1,#80786F,128,120,111
K025,"Black, Grey, Reddish, Light Chocolate",Dark Reddish Gray,5YR4/2,#715C4F,113,92,79
K026,Light Chocolate,Brown,10YR5/3,#8D765A,141,118,90
K027,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K029,"Black, Dark Chocolate",Very Dark Brown,10YR2/2,#3C2E21,60,46,33
K030,"Black, Grey",Dark Gray,10YR4/1,#675F55,103,95,85
K033,Light Chocolate,Brown,10YR5/3,#8D765A,141,118,90
K034,Grey,Gray,10YR5/1,#80786F,128,120,111
K035,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K036,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K037,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K038,"Light Chocolate, Dark Chocolate",Brown,10YR4/3,#735C40,115,92,64
K039,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K040,Grey,Gray,10YR5/1,#80786F,128,120,111
K042,Grey,Gray,10YR5/1,#80786F,128,120,111
K043,NA,NA,NA,NA,NA,NA,NA
K044,Grey,Gray,10YR5/1,#80786F,128,120,111
K045,"Black, Dark Chocolate",Very Dark Brown,10YR2/2,#3C2E21,60,46,33
K046,"Black, Grey",Dark Gray,10YR4/1,#675F55,103,95,85
K047,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K048,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K049,Black,Black,10YR2/1,#363029,54,48,41
K050,Light Chocolate,Brown,10YR5/3,#8D765A,141,118,90
K051,NA,NA,NA,NA,NA,NA,NA
K052,NA,NA,NA,NA,NA,NA,NA
K053,Light Chocolate,Brown,10YR5/3,#8D765A,141,118,90
K054,"Grey, Dark Chocolate",Very Dark Grayish Brown,10YR3/2,#544535,84,69,53
K055,Dark chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K056,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K057,NA,NA,NA,NA,NA,NA,NA
K058,Dark Chocolate,Dark Brown,10YR3/3,#58442C,88,68,44
K059,Light Chocolate,Brown,10YR5/3,#8D765A,141,118,90
K060,"Black, Grey",Dark Gray,10YR4/1,#675F55,103,95,85
K061,"Grey, Dark Chocolate",Very Dark Grayish Brown,10YR3/2,#544535,84,69,53
K062,Grey,Gray,10YR5/1,#80786F,128,120,111
